date,open,high,low,close,volume,0,1,2,3,4
2007-09-25/00:00:00,35.1,37.18,35.0,36.9,15999.0,,,,,
2007-09-26/00:00:00,38.48,38.49,36.06,37.06,7180.0,,,,,
2007-09-27/00:00:00,35.51,38.91,35.21,38.52,56086.0,,,,,
2007-09-30/00:00:00,40.44,40.44,39.75,40.4,30788.0,,,,,
2007-10-01/00:00:00,39.79,39.79,38.38,38.43,11757.0,,,,,
2007-10-02/00:00:00,37.89,37.99,36.51,36.67,39251.0,,,,,
2007-10-03/00:00:00,35.62,37.59,35.01,36.05,8302.0,,,,,
2007-10-04/00:00:00,35.25,36.0,35.01,35.34,13578.0,,,,,
2007-10-09/00:00:00,34.51,34.89,33.12,33.82,10601.0,,,,,
2007-10-10/00:00:00,34.7,35.18,33.91,34.53,6038.0,,,,,
2007-10-11/00:00:00,33.51,34.98,33.51,33.9,3430.0,,,,,
2007-10-16/00:00:00,33.71,35.59,33.5,34.97,10709.0,,,,,
2007-10-17/00:00:00,36.5,36.5,34.0,35.2,12085.0,,,,,
2007-10-18/00:00:00,35.25,35.75,34.7,34.94,6095.0,,,,,
2007-10-21/00:00:00,34.2,34.99,33.6,33.77,7590.0,,,,,
2007-10-22/00:00:00,33.7,34.5,32.26,33.21,14015.0,,,,,
2007-10-25/00:00:00,33.15,33.15,32.09,32.11,9947.0,,,,,
2007-10-28/00:00:00,30.51,33.71,30.51,32.88,22781.0,,,,,
2007-10-29/00:00:00,32.91,32.92,31.31,31.83,7556.0,,,,,
2007-10-30/00:00:00,31.32,32.0,30.56,31.07,7856.0,,,,,
2007-10-31/00:00:00,29.52,31.89,29.52,30.04,15670.0,,,,,
2007-11-01/00:00:00,29.01,30.0,28.54,28.8,19276.0,,,,,
2007-11-04/00:00:00,27.36,27.99,27.36,27.37,32621.0,,,,,
2007-11-05/00:00:00,27.45,27.45,26.02,26.47,18442.0,,,,,
2007-11-06/00:00:00,25.41,26.3,25.15,25.2,14701.0,,,,,
2007-11-07/00:00:00,24.13,24.13,23.94,23.99,11062.0,,,,,
2007-11-08/00:00:00,22.8,22.8,22.8,22.8,6020.0,,,,,
2007-11-14/00:00:00,21.66,23.82,21.66,21.82,14690.0,,,,,
2007-11-15/00:00:00,20.73,20.74,20.73,20.73,3500.0,,,,,
